command,intent,target_type,attribute,spatial_relation,spatial_reference,position
copy black text,copy,text,black,NONE,NONE,NONE
open yellow icon to the right of the home,open,icon,yellow,right_of,home,NONE
scroll down to text,scroll,text,NONE,NONE,NONE,NONE
launch the last icon,open,icon,NONE,NONE,NONE,last
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
paste the last text to the right of the cart,paste,text,NONE,right_of,cart,last
click on the last gray link,click,link,gray,NONE,NONE,last
click text above the home,click,text,NONE,above,home,NONE
paste red text to the left of the login,paste,text,red,left_of,login,NONE
paste text below the search,paste,text,NONE,below,search,NONE
paste text above the first email,paste,text,NONE,above,first email,NONE
press and hold black text above the address,long-press,text,black,above,address,NONE
press pink checkbox to the left of the login,click,checkbox,pink,left_of,login,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
trash orange text,delete,text,orange,NONE,NONE,NONE
copy the 3rd text to the left of the settings,copy,text,NONE,left_of,settings,3rd
long-press the 3rd purple image above the checkout,long-press,image,purple,above,checkout,3rd
open the 1st yellow tab to the left of the address,open,tab,yellow,left_of,address,1st
open tab above the wi-fi,open,tab,NONE,above,wi-fi,NONE
launch white menu to the right of the cart,open,menu,white,right_of,cart,NONE
open the last green menu to the left of the payment,open,menu,green,left_of,payment,last
copy yellow text to the left of the help,copy,text,yellow,left_of,help,NONE
copy the 3rd red text to the left of the first email,copy,text,red,left_of,first email,3rd
press and hold button to the left of the wi-fi,long-press,button,NONE,left_of,wi-fi,NONE
launch tab next to the profile,open,tab,NONE,next_to,profile,NONE
paste the 3rd yellow text next to the login,paste,text,yellow,next_to,login,3rd
scroll to orange text,scroll,text,orange,NONE,NONE,NONE
launch pink button next to the notifications,open,button,pink,next_to,notifications,NONE
copy purple text to the left of the search,copy,text,purple,left_of,search,NONE
open the 1st blue menu to the right of the login,open,menu,blue,right_of,login,1st
long-press button to the left of the help,long-press,button,NONE,left_of,help,NONE
open the 1st link next to the menu,open,link,NONE,next_to,menu,1st
press and hold button,long-press,button,NONE,NONE,NONE,NONE
paste the 2nd gray text,paste,text,gray,NONE,NONE,2nd
tap on tab,tap,tab,NONE,NONE,NONE,NONE
remove button below the home,delete,button,NONE,below,home,NONE
scroll down to text to the left of the search,scroll,text,NONE,left_of,search,NONE
press and hold the 2nd button next to the menu,long-press,button,NONE,next_to,menu,2nd
launch icon to the right of the checkout,open,icon,NONE,right_of,checkout,NONE
press and hold green image next to the home,long-press,image,green,next_to,home,NONE
long-press image to the left of the wi-fi,long-press,image,NONE,left_of,wi-fi,NONE
press black icon,click,icon,black,NONE,NONE,NONE
long-press image,long-press,image,NONE,NONE,NONE,NONE
tap on orange tab above the payment,tap,tab,orange,above,payment,NONE
trash text to the right of the cart,delete,text,NONE,right_of,cart,NONE
press and hold the last icon below the address,long-press,icon,NONE,below,address,last
paste text above the login,paste,text,NONE,above,login,NONE
long-press green text next to the cart,long-press,text,green,next_to,cart,NONE
trash button to the left of the payment,delete,button,NONE,left_of,payment,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
press link to the right of the profile,click,link,NONE,right_of,profile,NONE
launch the 3rd menu,open,menu,NONE,NONE,NONE,3rd
scroll down to text below the profile,scroll,text,NONE,below,profile,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
select blue link,click,link,blue,NONE,NONE,NONE
long-press the 1st text,long-press,text,NONE,NONE,NONE,1st
press link to the left of the payment,click,link,NONE,left_of,payment,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
paste text below the search,paste,text,NONE,below,search,NONE
paste text to the left of the menu,paste,text,NONE,left_of,menu,NONE
copy text above the first email,copy,text,NONE,above,first email,NONE
scroll to the 3rd gray tab to the left of the payment,scroll,tab,gray,left_of,payment,3rd
select icon next to the cart,click,icon,NONE,next_to,cart,NONE
tap purple link above the first email,tap,link,purple,above,first email,NONE
launch the 3rd link,open,link,NONE,NONE,NONE,3rd
press and hold icon below the first email,long-press,icon,NONE,below,first email,NONE
paste text next to the help,paste,text,NONE,next_to,help,NONE
tap gray button below the notifications,tap,button,gray,below,notifications,NONE
press and hold orange image,long-press,image,orange,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll down to the last menu to the right of the help,scroll,menu,NONE,right_of,help,last
copy text to the right of the home,copy,text,NONE,right_of,home,NONE
long-press the last text to the left of the cart,long-press,text,NONE,left_of,cart,last
scroll to gray text next to the help,scroll,text,gray,next_to,help,NONE
scroll down to text below the cart,scroll,text,NONE,below,cart,NONE
select checkbox below the cart,click,checkbox,NONE,below,cart,NONE
scroll down to gray menu,scroll,menu,gray,NONE,NONE,NONE
scroll down to red menu below the search,scroll,menu,red,below,search,NONE
copy the 3rd text below the address,copy,text,NONE,below,address,3rd
tap on switch next to the login,tap,switch,NONE,next_to,login,NONE
press and hold icon next to the home,long-press,icon,NONE,next_to,home,NONE
click the 1st checkbox,click,checkbox,NONE,NONE,NONE,1st
paste the 3rd text to the right of the notifications,paste,text,NONE,right_of,notifications,3rd
click on tab,click,tab,NONE,NONE,NONE,NONE
long-press the last icon,long-press,icon,NONE,NONE,NONE,last
tap yellow tab next to the login,tap,tab,yellow,next_to,login,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press green icon,long-press,icon,green,NONE,NONE,NONE
scroll to tab to the right of the login,scroll,tab,NONE,right_of,login,NONE
long-press the 1st icon to the left of the home,long-press,icon,NONE,left_of,home,1st
paste the 3rd yellow text,paste,text,yellow,NONE,NONE,3rd
tap on the last link above the help,tap,link,NONE,above,help,last
click on text to the left of the login,click,text,NONE,left_of,login,NONE
copy text below the notifications,copy,text,NONE,below,notifications,NONE
launch green link,open,link,green,NONE,NONE,NONE
open link,open,link,NONE,NONE,NONE,NONE
delete image,delete,image,NONE,NONE,NONE,NONE
remove yellow image to the right of the last item,delete,image,yellow,right_of,last item,NONE
scroll down to tab next to the checkout,scroll,tab,NONE,next_to,checkout,NONE
click link,click,link,NONE,NONE,NONE,NONE
press tab to the left of the help,click,tab,NONE,left_of,help,NONE
long-press white button,long-press,button,white,NONE,NONE,NONE
remove image above the home,delete,image,NONE,above,home,NONE
paste white text,paste,text,white,NONE,NONE,NONE
tap on gray tab,tap,tab,gray,NONE,NONE,NONE
scroll down to text to the left of the payment,scroll,text,NONE,left_of,payment,NONE
copy black text to the left of the login,copy,text,black,left_of,login,NONE
open menu next to the checkout,open,menu,NONE,next_to,checkout,NONE
tap on gray link,tap,link,gray,NONE,NONE,NONE
scroll to yellow tab to the right of the login,scroll,tab,yellow,right_of,login,NONE
launch icon to the right of the payment,open,icon,NONE,right_of,payment,NONE
press and hold button to the right of the search,long-press,button,NONE,right_of,search,NONE
trash red button to the right of the first email,delete,button,red,right_of,first email,NONE
click the last orange switch below the search,click,switch,orange,below,search,last
trash text,delete,text,NONE,NONE,NONE,NONE
scroll to the 2nd menu above the address,scroll,menu,NONE,above,address,2nd
copy the 3rd text to the right of the wi-fi,copy,text,NONE,right_of,wi-fi,3rd
remove red button to the right of the profile,delete,button,red,right_of,profile,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
delete text,delete,text,NONE,NONE,NONE,NONE
long-press text,long-press,text,NONE,NONE,NONE,NONE
launch menu below the help,open,menu,NONE,below,help,NONE
tap checkbox next to the search,tap,checkbox,NONE,next_to,search,NONE
scroll down to pink tab to the left of the last item,scroll,tab,pink,left_of,last item,NONE
open the 1st link,open,link,NONE,NONE,NONE,1st
copy the 1st text to the left of the address,copy,text,NONE,left_of,address,1st
scroll down to the 1st red tab to the left of the search,scroll,tab,red,left_of,search,1st
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
paste yellow text above the settings,paste,text,yellow,above,settings,NONE
press and hold image below the first email,long-press,image,NONE,below,first email,NONE
click checkbox,click,checkbox,NONE,NONE,NONE,NONE
tap on the 3rd link,tap,link,NONE,NONE,NONE,3rd
long-press white icon,long-press,icon,white,NONE,NONE,NONE
paste purple text below the wi-fi,paste,text,purple,below,wi-fi,NONE
copy orange text below the profile,copy,text,orange,below,profile,NONE
paste the 2nd purple text above the notifications,paste,text,purple,above,notifications,2nd
open the last button,open,button,NONE,NONE,NONE,last
remove button above the menu,delete,button,NONE,above,menu,NONE
open the 3rd blue menu next to the login,open,menu,blue,next_to,login,3rd
launch yellow tab next to the search,open,tab,yellow,next_to,search,NONE
paste text to the right of the profile,paste,text,NONE,right_of,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
click on switch above the help,click,switch,NONE,above,help,NONE
remove purple image below the menu,delete,image,purple,below,menu,NONE
press and hold text above the first email,long-press,text,NONE,above,first email,NONE
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd
select checkbox to the right of the home,click,checkbox,NONE,right_of,home,NONE
copy orange text to the left of the help,copy,text,orange,left_of,help,NONE
paste the 3rd text,paste,text,NONE,NONE,NONE,3rd
select text to the right of the address,click,text,NONE,right_of,address,NONE
tap icon next to the first email,tap,icon,NONE,next_to,first email,NONE
copy purple text,copy,text,purple,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press text to the right of the address,long-press,text,NONE,right_of,address,NONE
open black menu to the right of the cart,open,menu,black,right_of,cart,NONE
long-press yellow text next to the notifications,long-press,text,yellow,next_to,notifications,NONE
click switch to the right of the first email,click,switch,NONE,right_of,first email,NONE
trash orange text next to the login,delete,text,orange,next_to,login,NONE
remove button above the cart,delete,button,NONE,above,cart,NONE
paste yellow text,paste,text,yellow,NONE,NONE,NONE
long-press text next to the cart,long-press,text,NONE,next_to,cart,NONE
scroll down to orange menu,scroll,menu,orange,NONE,NONE,NONE
launch menu to the left of the last item,open,menu,NONE,left_of,last item,NONE
trash button next to the cart,delete,button,NONE,next_to,cart,NONE
scroll down to text,scroll,text,NONE,NONE,NONE,NONE
launch the last white link above the cart,open,link,white,above,cart,last
copy text,copy,text,NONE,NONE,NONE,NONE
paste the 1st text,paste,text,NONE,NONE,NONE,1st
remove text to the left of the address,delete,text,NONE,left_of,address,NONE
paste text above the home,paste,text,NONE,above,home,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy the 1st blue text,copy,text,blue,NONE,NONE,1st
open tab next to the last item,open,tab,NONE,next_to,last item,NONE
tap on button below the profile,tap,button,NONE,below,profile,NONE
tap on blue switch,tap,switch,blue,NONE,NONE,NONE
press and hold blue icon,long-press,icon,blue,NONE,NONE,NONE
open the last button to the right of the wi-fi,open,button,NONE,right_of,wi-fi,last
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
launch the 2nd menu,open,menu,NONE,NONE,NONE,2nd
long-press image to the left of the menu,long-press,image,NONE,left_of,menu,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
scroll down to menu next to the payment,scroll,menu,NONE,next_to,payment,NONE
paste green text to the right of the search,paste,text,green,right_of,search,NONE
click on icon,click,icon,NONE,NONE,NONE,NONE
trash button to the left of the help,delete,button,NONE,left_of,help,NONE
long-press blue button,long-press,button,blue,NONE,NONE,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
tap link next to the checkout,tap,link,NONE,next_to,checkout,NONE
paste the last text,paste,text,NONE,NONE,NONE,last
scroll down to tab next to the payment,scroll,tab,NONE,next_to,payment,NONE
tap on checkbox below the login,tap,checkbox,NONE,below,login,NONE
open menu to the right of the search,open,menu,NONE,right_of,search,NONE
click on the 2nd pink image next to the checkout,click,image,pink,next_to,checkout,2nd
tap tab,tap,tab,NONE,NONE,NONE,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
copy text below the home,copy,text,NONE,below,home,NONE
press and hold orange image,long-press,image,orange,NONE,NONE,NONE
trash pink text below the help,delete,text,pink,below,help,NONE
paste the last blue text,paste,text,blue,NONE,NONE,last
long-press text above the first email,long-press,text,NONE,above,first email,NONE
trash the 1st text above the login,delete,text,NONE,above,login,1st
click on switch to the left of the home,click,switch,NONE,left_of,home,NONE
remove blue button next to the login,delete,button,blue,next_to,login,NONE
paste text to the right of the last item,paste,text,NONE,right_of,last item,NONE
tap the 3rd button to the left of the wi-fi,tap,button,NONE,left_of,wi-fi,3rd
paste the last black text above the first email,paste,text,black,above,first email,last
open menu above the settings,open,menu,NONE,above,settings,NONE
trash the last text to the right of the wi-fi,delete,text,NONE,right_of,wi-fi,last
launch link to the left of the help,open,link,NONE,left_of,help,NONE
copy text next to the settings,copy,text,NONE,next_to,settings,NONE
press and hold text,long-press,text,NONE,NONE,NONE,NONE
long-press white text above the login,long-press,text,white,above,login,NONE
press switch to the right of the last item,click,switch,NONE,right_of,last item,NONE
scroll down to yellow menu above the address,scroll,menu,yellow,above,address,NONE
tap red button to the right of the checkout,tap,button,red,right_of,checkout,NONE
paste white text above the cart,paste,text,white,above,cart,NONE
paste the 3rd white text next to the checkout,paste,text,white,next_to,checkout,3rd
delete the 2nd text,delete,text,NONE,NONE,NONE,2nd
paste purple text,paste,text,purple,NONE,NONE,NONE
scroll down to the 3rd text to the right of the last item,scroll,text,NONE,right_of,last item,3rd
copy the 2nd pink text to the right of the address,copy,text,pink,right_of,address,2nd
copy gray text,copy,text,gray,NONE,NONE,NONE
trash image next to the payment,delete,image,NONE,next_to,payment,NONE
scroll to green tab to the left of the notifications,scroll,tab,green,left_of,notifications,NONE
copy text below the help,copy,text,NONE,below,help,NONE
scroll down to the 3rd tab below the last item,scroll,tab,NONE,below,last item,3rd
paste text,paste,text,NONE,NONE,NONE,NONE
remove purple image,delete,image,purple,NONE,NONE,NONE
scroll down to the last tab to the left of the notifications,scroll,tab,NONE,left_of,notifications,last
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
copy yellow text to the left of the cart,copy,text,yellow,left_of,cart,NONE
scroll to the 1st tab,scroll,tab,NONE,NONE,NONE,1st
scroll to gray text below the payment,scroll,text,gray,below,payment,NONE
remove image to the right of the profile,delete,image,NONE,right_of,profile,NONE
paste text next to the wi-fi,paste,text,NONE,next_to,wi-fi,NONE
scroll down to the 2nd tab,scroll,tab,NONE,NONE,NONE,2nd
tap tab,tap,tab,NONE,NONE,NONE,NONE
copy the 1st gray text,copy,text,gray,NONE,NONE,1st
copy text above the first email,copy,text,NONE,above,first email,NONE
scroll down to white text,scroll,text,white,NONE,NONE,NONE
copy red text above the notifications,copy,text,red,above,notifications,NONE
tap the 3rd checkbox,tap,checkbox,NONE,NONE,NONE,3rd
press and hold the last image next to the address,long-press,image,NONE,next_to,address,last
copy text next to the settings,copy,text,NONE,next_to,settings,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll down to orange menu next to the search,scroll,menu,orange,next_to,search,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
press and hold green text to the left of the menu,long-press,text,green,left_of,menu,NONE
press green icon to the left of the first email,click,icon,green,left_of,first email,NONE
click on the last checkbox above the payment,click,checkbox,NONE,above,payment,last
remove the last red image,delete,image,red,NONE,NONE,last
tap on green checkbox above the settings,tap,checkbox,green,above,settings,NONE
paste purple text below the notifications,paste,text,purple,below,notifications,NONE
press and hold blue text next to the login,long-press,text,blue,next_to,login,NONE
press button next to the help,click,button,NONE,next_to,help,NONE
press pink checkbox below the home,click,checkbox,pink,below,home,NONE
long-press pink image to the left of the payment,long-press,image,pink,left_of,payment,NONE
paste blue text above the payment,paste,text,blue,above,payment,NONE
paste gray text next to the settings,paste,text,gray,next_to,settings,NONE
select the 2nd switch below the first email,click,switch,NONE,below,first email,2nd
select text next to the profile,click,text,NONE,next_to,profile,NONE
tap link below the payment,tap,link,NONE,below,payment,NONE
click on tab,click,tab,NONE,NONE,NONE,NONE
press and hold black icon to the left of the cart,long-press,icon,black,left_of,cart,NONE
scroll to purple tab below the home,scroll,tab,purple,below,home,NONE
paste gray text,paste,text,gray,NONE,NONE,NONE
long-press the 1st image to the right of the home,long-press,image,NONE,right_of,home,1st
tap the 3rd switch next to the menu,tap,switch,NONE,next_to,menu,3rd
open the 1st red icon,open,icon,red,NONE,NONE,1st
select blue button,click,button,blue,NONE,NONE,NONE
trash the 1st button below the checkout,delete,button,NONE,below,checkout,1st
click on text,click,text,NONE,NONE,NONE,NONE
press and hold icon next to the notifications,long-press,icon,NONE,next_to,notifications,NONE
tap on orange checkbox next to the cart,tap,checkbox,orange,next_to,cart,NONE
tap on the last orange button above the settings,tap,button,orange,above,settings,last
open the last menu,open,menu,NONE,NONE,NONE,last
tap the last link,tap,link,NONE,NONE,NONE,last
copy the 2nd text above the cart,copy,text,NONE,above,cart,2nd
copy the last blue text to the left of the cart,copy,text,blue,left_of,cart,last
copy text below the profile,copy,text,NONE,below,profile,NONE
tap on icon next to the help,tap,icon,NONE,next_to,help,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
press and hold icon,long-press,icon,NONE,NONE,NONE,NONE
click text,click,text,NONE,NONE,NONE,NONE
open the 3rd menu below the wi-fi,open,menu,NONE,below,wi-fi,3rd
copy gray text above the search,copy,text,gray,above,search,NONE
remove text below the checkout,delete,text,NONE,below,checkout,NONE
press and hold button,long-press,button,NONE,NONE,NONE,NONE
scroll down to yellow text below the settings,scroll,text,yellow,below,settings,NONE
open the 2nd tab next to the last item,open,tab,NONE,next_to,last item,2nd
press and hold the 2nd button below the settings,long-press,button,NONE,below,settings,2nd
copy text below the home,copy,text,NONE,below,home,NONE
remove white button next to the wi-fi,delete,button,white,next_to,wi-fi,NONE
paste the 1st purple text next to the menu,paste,text,purple,next_to,menu,1st
long-press button,long-press,button,NONE,NONE,NONE,NONE
tap icon next to the first email,tap,icon,NONE,next_to,first email,NONE
launch the 2nd link below the address,open,link,NONE,below,address,2nd
long-press white icon,long-press,icon,white,NONE,NONE,NONE
open icon,open,icon,NONE,NONE,NONE,NONE
paste the 3rd text next to the home,paste,text,NONE,next_to,home,3rd
tap icon to the right of the search,tap,icon,NONE,right_of,search,NONE
copy the last text next to the last item,copy,text,NONE,next_to,last item,last
scroll down to the 1st tab,scroll,tab,NONE,NONE,NONE,1st
click black tab,click,tab,black,NONE,NONE,NONE
tap orange tab,tap,tab,orange,NONE,NONE,NONE
tap on black checkbox,tap,checkbox,black,NONE,NONE,NONE
open gray tab,open,tab,gray,NONE,NONE,NONE
copy text to the right of the settings,copy,text,NONE,right_of,settings,NONE
delete blue text,delete,text,blue,NONE,NONE,NONE
trash the 1st image,delete,image,NONE,NONE,NONE,1st
tap tab to the right of the address,tap,tab,NONE,right_of,address,NONE
scroll to tab to the left of the checkout,scroll,tab,NONE,left_of,checkout,NONE
open button below the checkout,open,button,NONE,below,checkout,NONE
open icon to the left of the profile,open,icon,NONE,left_of,profile,NONE
select the 1st gray checkbox to the right of the login,click,checkbox,gray,right_of,login,1st
launch the 2nd link below the address,open,link,NONE,below,address,2nd
trash button next to the first email,delete,button,NONE,next_to,first email,NONE
long-press pink image,long-press,image,pink,NONE,NONE,NONE
delete the 3rd button,delete,button,NONE,NONE,NONE,3rd
paste text,paste,text,NONE,NONE,NONE,NONE
tap on the 1st switch next to the notifications,tap,switch,NONE,next_to,notifications,1st
launch the 1st blue button to the left of the menu,open,button,blue,left_of,menu,1st
open tab next to the help,open,tab,NONE,next_to,help,NONE
delete button,delete,button,NONE,NONE,NONE,NONE
click on checkbox above the notifications,click,checkbox,NONE,above,notifications,NONE
scroll down to pink text,scroll,text,pink,NONE,NONE,NONE
launch tab above the notifications,open,tab,NONE,above,notifications,NONE
launch the last icon to the right of the login,open,icon,NONE,right_of,login,last
open link to the left of the search,open,link,NONE,left_of,search,NONE
launch blue menu next to the profile,open,menu,blue,next_to,profile,NONE
long-press text to the right of the menu,long-press,text,NONE,right_of,menu,NONE
trash the 2nd image above the profile,delete,image,NONE,above,profile,2nd
tap on gray switch next to the settings,tap,switch,gray,next_to,settings,NONE
scroll to green menu to the right of the menu,scroll,menu,green,right_of,menu,NONE
copy red text to the right of the settings,copy,text,red,right_of,settings,NONE
tap tab,tap,tab,NONE,NONE,NONE,NONE
trash text,delete,text,NONE,NONE,NONE,NONE
copy white text next to the search,copy,text,white,next_to,search,NONE
tap on checkbox to the left of the last item,tap,checkbox,NONE,left_of,last item,NONE
paste yellow text to the right of the help,paste,text,yellow,right_of,help,NONE
open menu below the notifications,open,menu,NONE,below,notifications,NONE
click checkbox above the login,click,checkbox,NONE,above,login,NONE
press and hold red icon below the notifications,long-press,icon,red,below,notifications,NONE
paste text below the wi-fi,paste,text,NONE,below,wi-fi,NONE
scroll to tab next to the address,scroll,tab,NONE,next_to,address,NONE
tap on switch to the left of the notifications,tap,switch,NONE,left_of,notifications,NONE
press and hold yellow image,long-press,image,yellow,NONE,NONE,NONE
press and hold image above the profile,long-press,image,NONE,above,profile,NONE
trash button to the left of the settings,delete,button,NONE,left_of,settings,NONE
open black icon,open,icon,black,NONE,NONE,NONE
remove yellow image,delete,image,yellow,NONE,NONE,NONE
scroll down to tab to the left of the payment,scroll,tab,NONE,left_of,payment,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste text above the checkout,paste,text,NONE,above,checkout,NONE
open the 3rd menu next to the help,open,menu,NONE,next_to,help,3rd
tap on yellow button to the right of the checkout,tap,button,yellow,right_of,checkout,NONE
trash gray text to the left of the cart,delete,text,gray,left_of,cart,NONE
scroll down to text next to the settings,scroll,text,NONE,next_to,settings,NONE
paste text to the right of the profile,paste,text,NONE,right_of,profile,NONE
paste the 3rd text to the left of the cart,paste,text,NONE,left_of,cart,3rd
delete yellow text to the right of the cart,delete,text,yellow,right_of,cart,NONE
copy pink text to the right of the login,copy,text,pink,right_of,login,NONE
click on switch to the right of the address,click,switch,NONE,right_of,address,NONE
paste text above the cart,paste,text,NONE,above,cart,NONE
copy the 3rd gray text next to the profile,copy,text,gray,next_to,profile,3rd
click on link to the left of the help,click,link,NONE,left_of,help,NONE
click the last red switch above the last item,click,switch,red,above,last item,last
scroll down to the 2nd tab to the left of the wi-fi,scroll,tab,NONE,left_of,wi-fi,2nd
launch menu,open,menu,NONE,NONE,NONE,NONE
click on button,click,button,NONE,NONE,NONE,NONE
copy the 1st text,copy,text,NONE,NONE,NONE,1st
copy the last black text to the left of the first email,copy,text,black,left_of,first email,last
copy text,copy,text,NONE,NONE,NONE,NONE
remove text above the login,delete,text,NONE,above,login,NONE
press and hold button to the left of the profile,long-press,button,NONE,left_of,profile,NONE
click on the 2nd yellow icon to the right of the checkout,click,icon,yellow,right_of,checkout,2nd
launch the 3rd tab to the right of the first email,open,tab,NONE,right_of,first email,3rd
scroll down to white tab below the first email,scroll,tab,white,below,first email,NONE
copy the 1st black text next to the cart,copy,text,black,next_to,cart,1st
click on image below the payment,click,image,NONE,below,payment,NONE
paste green text below the wi-fi,paste,text,green,below,wi-fi,NONE
paste blue text,paste,text,blue,NONE,NONE,NONE
tap white icon next to the first email,tap,icon,white,next_to,first email,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press the last icon,long-press,icon,NONE,NONE,NONE,last
click on green switch,click,switch,green,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll to text next to the menu,scroll,text,NONE,next_to,menu,NONE
paste text below the menu,paste,text,NONE,below,menu,NONE
open the 1st purple icon below the login,open,icon,purple,below,login,1st
click on purple icon next to the last item,click,icon,purple,next_to,last item,NONE
trash the last button,delete,button,NONE,NONE,NONE,last
trash the 3rd blue text below the address,delete,text,blue,below,address,3rd
paste text above the checkout,paste,text,NONE,above,checkout,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
long-press text to the right of the address,long-press,text,NONE,right_of,address,NONE
select black tab next to the checkout,click,tab,black,next_to,checkout,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
press text to the left of the help,click,text,NONE,left_of,help,NONE
tap on link below the checkout,tap,link,NONE,below,checkout,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
delete image below the checkout,delete,image,NONE,below,checkout,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
copy yellow text next to the first email,copy,text,yellow,next_to,first email,NONE
paste text to the left of the cart,paste,text,NONE,left_of,cart,NONE
select switch,click,switch,NONE,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
tap icon next to the address,tap,icon,NONE,next_to,address,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
remove the 2nd blue image below the search,delete,image,blue,below,search,2nd
long-press the 3rd text to the left of the help,long-press,text,NONE,left_of,help,3rd
tap icon,tap,icon,NONE,NONE,NONE,NONE
click switch next to the checkout,click,switch,NONE,next_to,checkout,NONE
launch tab to the left of the settings,open,tab,NONE,left_of,settings,NONE
scroll to the 1st orange tab,scroll,tab,orange,NONE,NONE,1st
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to the 1st tab above the payment,scroll,tab,NONE,above,payment,1st
launch the 3rd tab below the home,open,tab,NONE,below,home,3rd
launch the last menu above the profile,open,menu,NONE,above,profile,last
scroll to the 2nd text below the home,scroll,text,NONE,below,home,2nd
tap on the last tab next to the profile,tap,tab,NONE,next_to,profile,last
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
select switch to the right of the wi-fi,click,switch,NONE,right_of,wi-fi,NONE
paste red text below the home,paste,text,red,below,home,NONE
delete text below the payment,delete,text,NONE,below,payment,NONE
delete image,delete,image,NONE,NONE,NONE,NONE
open black link,open,link,black,NONE,NONE,NONE
copy the 3rd text below the wi-fi,copy,text,NONE,below,wi-fi,3rd
paste the 2nd purple text above the payment,paste,text,purple,above,payment,2nd
tap on white tab,tap,tab,white,NONE,NONE,NONE
scroll down to purple menu next to the first email,scroll,menu,purple,next_to,first email,NONE
click on checkbox above the menu,click,checkbox,NONE,above,menu,NONE
scroll down to the 3rd orange menu to the right of the help,scroll,menu,orange,right_of,help,3rd
long-press button above the address,long-press,button,NONE,above,address,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
launch the 2nd button to the right of the login,open,button,NONE,right_of,login,2nd
scroll to tab to the left of the first email,scroll,tab,NONE,left_of,first email,NONE
tap button below the last item,tap,button,NONE,below,last item,NONE
paste black text to the left of the cart,paste,text,black,left_of,cart,NONE
tap the 1st button,tap,button,NONE,NONE,NONE,1st
launch menu to the left of the home,open,menu,NONE,left_of,home,NONE
paste text below the settings,paste,text,NONE,below,settings,NONE
remove the last text to the left of the first email,delete,text,NONE,left_of,first email,last
press and hold blue button to the right of the checkout,long-press,button,blue,right_of,checkout,NONE
long-press the 1st text next to the settings,long-press,text,NONE,next_to,settings,1st
click on blue link to the left of the help,click,link,blue,left_of,help,NONE
press and hold pink button to the right of the payment,long-press,button,pink,right_of,payment,NONE
scroll to tab to the left of the profile,scroll,tab,NONE,left_of,profile,NONE
open the 3rd orange link below the login,open,link,orange,below,login,3rd
launch the 1st link to the right of the settings,open,link,NONE,right_of,settings,1st
copy the 3rd text to the right of the menu,copy,text,NONE,right_of,menu,3rd
tap on link below the wi-fi,tap,link,NONE,below,wi-fi,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy text next to the notifications,copy,text,NONE,next_to,notifications,NONE
copy the 2nd text below the login,copy,text,NONE,below,login,2nd
tap button below the settings,tap,button,NONE,below,settings,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
copy pink text to the right of the checkout,copy,text,pink,right_of,checkout,NONE
tap button to the left of the address,tap,button,NONE,left_of,address,NONE
press and hold image below the settings,long-press,image,NONE,below,settings,NONE
paste the 2nd green text above the wi-fi,paste,text,green,above,wi-fi,2nd
long-press text,long-press,text,NONE,NONE,NONE,NONE
press and hold button to the left of the payment,long-press,button,NONE,left_of,payment,NONE
