command,intent,target_type,attribute,spatial_relation,spatial_reference,position,intent_id,target_type_id,attribute_id,spatial_relation_id,position_id
scroll to the 2nd text,scroll,text,NONE,NONE,NONE,2nd,7,9,0,0,1
delete image above the help,delete,image,NONE,above,help,NONE,3,4,0,1,3
press and hold white button to the right of the cart,long-press,button,white,right_of,cart,NONE,4,1,9,5,3
scroll to purple tab,scroll,tab,purple,NONE,NONE,NONE,7,8,7,0,3
paste the 2nd text to the right of the last item,paste,text,NONE,right_of,last item,2nd,6,9,0,5,1
click on link to the left of the payment,click,link,NONE,left_of,payment,NONE,1,5,0,3,3
delete image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
open icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
select text,click,text,NONE,NONE,NONE,NONE,1,9,0,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
delete the 1st green text to the left of the wi-fi,delete,text,green,left_of,wi-fi,1st,3,9,4,3,0
long-press button to the left of the menu,long-press,button,NONE,left_of,menu,NONE,4,1,0,3,3
scroll down to red menu,scroll,menu,red,NONE,NONE,NONE,7,6,8,0,3
open green tab,open,tab,green,NONE,NONE,NONE,5,8,4,0,3
click on gray link,click,link,gray,NONE,NONE,NONE,1,5,3,0,3
open white menu next to the search,open,menu,white,next_to,search,NONE,5,6,9,4,3
copy text to the left of the last item,copy,text,NONE,left_of,last item,NONE,2,9,0,3,3
tap the 3rd purple button above the checkout,tap,button,purple,above,checkout,3rd,8,1,7,1,2
copy red text to the left of the settings,copy,text,red,left_of,settings,NONE,2,9,8,3,3
tap link next to the login,tap,link,NONE,next_to,login,NONE,8,5,0,4,3
open button,open,button,NONE,NONE,NONE,NONE,5,1,0,0,3
paste the 2nd gray text,paste,text,gray,NONE,NONE,2nd,6,9,3,0,1
long-press icon below the profile,long-press,icon,NONE,below,profile,NONE,4,3,0,2,3
tap on the 2nd red tab to the left of the settings,tap,tab,red,left_of,settings,2nd,8,8,8,3,1
long-press icon next to the login,long-press,icon,NONE,next_to,login,NONE,4,3,0,4,3
launch pink button,open,button,pink,NONE,NONE,NONE,5,1,6,0,3
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
tap green button to the right of the wi-fi,tap,button,green,right_of,wi-fi,NONE,8,1,4,5,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
paste blue text below the search,paste,text,blue,below,search,NONE,6,9,2,2,3
click on text above the payment,click,text,NONE,above,payment,NONE,1,9,0,1,3
copy the 2nd text above the notifications,copy,text,NONE,above,notifications,2nd,2,9,0,1,1
delete image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
tap the last button,tap,button,NONE,NONE,NONE,last,8,1,0,0,4
press orange switch,click,switch,orange,NONE,NONE,NONE,1,7,5,0,3
open icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
launch orange link,open,link,orange,NONE,NONE,NONE,5,5,5,0,3
scroll to white menu,scroll,menu,white,NONE,NONE,NONE,7,6,9,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
tap link to the left of the search,tap,link,NONE,left_of,search,NONE,8,5,0,3,3
paste text next to the profile,paste,text,NONE,next_to,profile,NONE,6,9,0,4,3
remove orange button to the right of the payment,delete,button,orange,right_of,payment,NONE,3,1,5,5,3
press and hold button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
copy red text next to the search,copy,text,red,next_to,search,NONE,2,9,8,4,3
scroll down to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
click the last image above the profile,click,image,NONE,above,profile,last,1,4,0,1,4
paste text next to the settings,paste,text,NONE,next_to,settings,NONE,6,9,0,4,3
click on link to the right of the home,click,link,NONE,right_of,home,NONE,1,5,0,5,3
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE,7,8,0,0,3
copy red text to the left of the checkout,copy,text,red,left_of,checkout,NONE,2,9,8,3,3
press yellow tab,click,tab,yellow,NONE,NONE,NONE,1,8,10,0,3
tap on link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE,7,8,0,0,3
press and hold black text next to the help,long-press,text,black,next_to,help,NONE,4,9,1,4,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
paste purple text below the address,paste,text,purple,below,address,NONE,6,9,7,2,3
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
trash text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
tap on orange link above the first email,tap,link,orange,above,first email,NONE,8,5,5,1,3
paste orange text,paste,text,orange,NONE,NONE,NONE,6,9,5,0,3
trash the 2nd white text below the search,delete,text,white,below,search,2nd,3,9,9,2,1
tap on the 2nd white link to the right of the login,tap,link,white,right_of,login,2nd,8,5,9,5,1
press and hold image below the home,long-press,image,NONE,below,home,NONE,4,4,0,2,3
launch tab above the home,open,tab,NONE,above,home,NONE,5,8,0,1,3
select the 3rd switch to the left of the home,click,switch,NONE,left_of,home,3rd,1,7,0,3,2
launch icon to the right of the address,open,icon,NONE,right_of,address,NONE,5,3,0,5,3
copy black text,copy,text,black,NONE,NONE,NONE,2,9,1,0,3
tap the last link above the home,tap,link,NONE,above,home,last,8,5,0,1,4
long-press black button to the left of the address,long-press,button,black,left_of,address,NONE,4,1,1,3,3
click on image above the profile,click,image,NONE,above,profile,NONE,1,4,0,1,3
long-press yellow text next to the first email,long-press,text,yellow,next_to,first email,NONE,4,9,10,4,3
press tab to the left of the payment,click,tab,NONE,left_of,payment,NONE,1,8,0,3,3
paste text to the left of the search,paste,text,NONE,left_of,search,NONE,6,9,0,3,3
press and hold the last text,long-press,text,NONE,NONE,NONE,last,4,9,0,0,4
delete black button below the checkout,delete,button,black,below,checkout,NONE,3,1,1,2,3
launch menu to the left of the payment,open,menu,NONE,left_of,payment,NONE,5,6,0,3,3
copy purple text,copy,text,purple,NONE,NONE,NONE,2,9,7,0,3
tap the 2nd checkbox to the right of the profile,tap,checkbox,NONE,right_of,profile,2nd,8,2,0,5,1
paste the last text,paste,text,NONE,NONE,NONE,last,6,9,0,0,4
copy the last text to the left of the login,copy,text,NONE,left_of,login,last,2,9,0,3,4
launch the 2nd red link above the first email,open,link,red,above,first email,2nd,5,5,8,1,1
tap icon,tap,icon,NONE,NONE,NONE,NONE,8,3,0,0,3
copy text to the left of the profile,copy,text,NONE,left_of,profile,NONE,2,9,0,3,3
press and hold the last yellow icon to the left of the home,long-press,icon,yellow,left_of,home,last,4,3,10,3,4
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd,2,9,0,0,2
press and hold image next to the home,long-press,image,NONE,next_to,home,NONE,4,4,0,4,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
press and hold button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
long-press icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
scroll to the 1st tab,scroll,tab,NONE,NONE,NONE,1st,7,8,0,0,0
paste the 3rd green text,paste,text,green,NONE,NONE,3rd,6,9,4,0,2
scroll to blue menu above the first email,scroll,menu,blue,above,first email,NONE,7,6,2,1,3
trash the 2nd button below the checkout,delete,button,NONE,below,checkout,2nd,3,1,0,2,1
launch the last gray link next to the first email,open,link,gray,next_to,first email,last,5,5,3,4,4
press and hold the 2nd gray icon to the left of the cart,long-press,icon,gray,left_of,cart,2nd,4,3,3,3,1
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
scroll down to text next to the menu,scroll,text,NONE,next_to,menu,NONE,7,9,0,4,3
open purple menu to the left of the last item,open,menu,purple,left_of,last item,NONE,5,6,7,3,3
paste text below the notifications,paste,text,NONE,below,notifications,NONE,6,9,0,2,3
copy text to the left of the last item,copy,text,NONE,left_of,last item,NONE,2,9,0,3,3
long-press image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
delete gray image,delete,image,gray,NONE,NONE,NONE,3,4,3,0,3
scroll to the 2nd tab,scroll,tab,NONE,NONE,NONE,2nd,7,8,0,0,1
open purple button,open,button,purple,NONE,NONE,NONE,5,1,7,0,3
open the 3rd icon to the right of the address,open,icon,NONE,right_of,address,3rd,5,3,0,5,2
delete the last green text to the left of the home,delete,text,green,left_of,home,last,3,9,4,3,4
select the 2nd tab above the wi-fi,click,tab,NONE,above,wi-fi,2nd,1,8,0,1,1
copy orange text to the right of the profile,copy,text,orange,right_of,profile,NONE,2,9,5,5,3
press and hold the 3rd text,long-press,text,NONE,NONE,NONE,3rd,4,9,0,0,2
copy text below the notifications,copy,text,NONE,below,notifications,NONE,2,9,0,2,3
launch icon next to the settings,open,icon,NONE,next_to,settings,NONE,5,3,0,4,3
press and hold yellow text next to the last item,long-press,text,yellow,next_to,last item,NONE,4,9,10,4,3
remove the 3rd text below the login,delete,text,NONE,below,login,3rd,3,9,0,2,2
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
paste the 1st text to the right of the wi-fi,paste,text,NONE,right_of,wi-fi,1st,6,9,0,5,0
tap pink switch to the left of the last item,tap,switch,pink,left_of,last item,NONE,8,7,6,3,3
select button to the right of the search,click,button,NONE,right_of,search,NONE,1,1,0,5,3
scroll down to menu below the help,scroll,menu,NONE,below,help,NONE,7,6,0,2,3
click on the last text below the profile,click,text,NONE,below,profile,last,1,9,0,2,4
select the 2nd text,click,text,NONE,NONE,NONE,2nd,1,9,0,0,1
long-press image below the checkout,long-press,image,NONE,below,checkout,NONE,4,4,0,2,3
tap button to the left of the help,tap,button,NONE,left_of,help,NONE,8,1,0,3,3
select image to the right of the payment,click,image,NONE,right_of,payment,NONE,1,4,0,5,3
delete text below the address,delete,text,NONE,below,address,NONE,3,9,0,2,3
long-press button next to the search,long-press,button,NONE,next_to,search,NONE,4,1,0,4,3
tap switch to the right of the settings,tap,switch,NONE,right_of,settings,NONE,8,7,0,5,3
remove the 3rd red image next to the address,delete,image,red,next_to,address,3rd,3,4,8,4,2
delete text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
open link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
press and hold text below the help,long-press,text,NONE,below,help,NONE,4,9,0,2,3
tap on the 2nd orange icon to the right of the first email,tap,icon,orange,right_of,first email,2nd,8,3,5,5,1
paste pink text to the left of the cart,paste,text,pink,left_of,cart,NONE,6,9,6,3,3
tap on tab to the right of the notifications,tap,tab,NONE,right_of,notifications,NONE,8,8,0,5,3
launch pink link to the left of the address,open,link,pink,left_of,address,NONE,5,5,6,3,3
tap on the 3rd icon to the left of the menu,tap,icon,NONE,left_of,menu,3rd,8,3,0,3,2
press the 2nd green button next to the payment,click,button,green,next_to,payment,2nd,1,1,4,4,1
copy the 3rd blue text,copy,text,blue,NONE,NONE,3rd,2,9,2,0,2
delete text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
tap the 3rd tab next to the checkout,tap,tab,NONE,next_to,checkout,3rd,8,8,0,4,2
long-press text,long-press,text,NONE,NONE,NONE,NONE,4,9,0,0,3
paste white text next to the menu,paste,text,white,next_to,menu,NONE,6,9,9,4,3
trash image to the left of the help,delete,image,NONE,left_of,help,NONE,3,4,0,3,3
paste text below the last item,paste,text,NONE,below,last item,NONE,6,9,0,2,3
select blue checkbox to the right of the home,click,checkbox,blue,right_of,home,NONE,1,2,2,5,3
long-press the 3rd button below the login,long-press,button,NONE,below,login,3rd,4,1,0,2,2
open the 3rd button to the left of the cart,open,button,NONE,left_of,cart,3rd,5,1,0,3,2
press and hold the 2nd black button next to the login,long-press,button,black,next_to,login,2nd,4,1,1,4,1
paste the 1st text,paste,text,NONE,NONE,NONE,1st,6,9,0,0,0
delete the 3rd red button next to the settings,delete,button,red,next_to,settings,3rd,3,1,8,4,2
paste text below the help,paste,text,NONE,below,help,NONE,6,9,0,2,3
open icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
paste text below the last item,paste,text,NONE,below,last item,NONE,6,9,0,2,3
click checkbox next to the search,click,checkbox,NONE,next_to,search,NONE,1,2,0,4,3
trash text below the search,delete,text,NONE,below,search,NONE,3,9,0,2,3
trash the 2nd image next to the search,delete,image,NONE,next_to,search,2nd,3,4,0,4,1
press and hold the 1st purple image,long-press,image,purple,NONE,NONE,1st,4,4,7,0,0
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
copy the last gray text,copy,text,gray,NONE,NONE,last,2,9,3,0,4
click on tab next to the menu,click,tab,NONE,next_to,menu,NONE,1,8,0,4,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
click the last tab above the notifications,click,tab,NONE,above,notifications,last,1,8,0,1,4
delete white text next to the cart,delete,text,white,next_to,cart,NONE,3,9,9,4,3
tap on the 2nd green switch,tap,switch,green,NONE,NONE,2nd,8,7,4,0,1
select pink image next to the notifications,click,image,pink,next_to,notifications,NONE,1,4,6,4,3
open orange menu,open,menu,orange,NONE,NONE,NONE,5,6,5,0,3
launch orange link,open,link,orange,NONE,NONE,NONE,5,5,5,0,3
scroll to the 3rd menu below the checkout,scroll,menu,NONE,below,checkout,3rd,7,6,0,2,2
select the last white tab above the menu,click,tab,white,above,menu,last,1,8,9,1,4
paste text above the login,paste,text,NONE,above,login,NONE,6,9,0,1,3
scroll down to tab next to the first email,scroll,tab,NONE,next_to,first email,NONE,7,8,0,4,3
scroll to the last text,scroll,text,NONE,NONE,NONE,last,7,9,0,0,4
long-press the last text,long-press,text,NONE,NONE,NONE,last,4,9,0,0,4
scroll down to the 3rd text next to the payment,scroll,text,NONE,next_to,payment,3rd,7,9,0,4,2
launch red button,open,button,red,NONE,NONE,NONE,5,1,8,0,3
paste the 3rd text,paste,text,NONE,NONE,NONE,3rd,6,9,0,0,2
scroll to the 1st tab,scroll,tab,NONE,NONE,NONE,1st,7,8,0,0,0
click switch,click,switch,NONE,NONE,NONE,NONE,1,7,0,0,3
remove the 3rd button,delete,button,NONE,NONE,NONE,3rd,3,1,0,0,2
tap red switch to the right of the wi-fi,tap,switch,red,right_of,wi-fi,NONE,8,7,8,5,3
trash gray button next to the first email,delete,button,gray,next_to,first email,NONE,3,1,3,4,3
remove yellow text next to the cart,delete,text,yellow,next_to,cart,NONE,3,9,10,4,3
paste text to the right of the menu,paste,text,NONE,right_of,menu,NONE,6,9,0,5,3
scroll to red text,scroll,text,red,NONE,NONE,NONE,7,9,8,0,3
long-press the 1st icon,long-press,icon,NONE,NONE,NONE,1st,4,3,0,0,0
scroll down to purple text to the left of the checkout,scroll,text,purple,left_of,checkout,NONE,7,9,7,3,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
press and hold button below the login,long-press,button,NONE,below,login,NONE,4,1,0,2,3
tap tab to the right of the address,tap,tab,NONE,right_of,address,NONE,8,8,0,5,3
launch white tab to the right of the home,open,tab,white,right_of,home,NONE,5,8,9,5,3
launch blue tab to the left of the checkout,open,tab,blue,left_of,checkout,NONE,5,8,2,3,3
long-press image above the payment,long-press,image,NONE,above,payment,NONE,4,4,0,1,3
copy the 3rd text to the left of the address,copy,text,NONE,left_of,address,3rd,2,9,0,3,2
tap on the 1st yellow button,tap,button,yellow,NONE,NONE,1st,8,1,10,0,0
long-press the 3rd green image next to the login,long-press,image,green,next_to,login,3rd,4,4,4,4,2
click blue text,click,text,blue,NONE,NONE,NONE,1,9,2,0,3
remove red button to the right of the cart,delete,button,red,right_of,cart,NONE,3,1,8,5,3
long-press the 3rd button,long-press,button,NONE,NONE,NONE,3rd,4,1,0,0,2
delete the last image next to the checkout,delete,image,NONE,next_to,checkout,last,3,4,0,4,4
remove text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
copy red text above the login,copy,text,red,above,login,NONE,2,9,8,1,3
tap switch to the right of the checkout,tap,switch,NONE,right_of,checkout,NONE,8,7,0,5,3
click text below the notifications,click,text,NONE,below,notifications,NONE,1,9,0,2,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
trash black image to the right of the menu,delete,image,black,right_of,menu,NONE,3,4,1,5,3
scroll to menu above the profile,scroll,menu,NONE,above,profile,NONE,7,6,0,1,3
press and hold button to the left of the checkout,long-press,button,NONE,left_of,checkout,NONE,4,1,0,3,3
scroll to pink menu below the payment,scroll,menu,pink,below,payment,NONE,7,6,6,2,3
select the 2nd button,click,button,NONE,NONE,NONE,2nd,1,1,0,0,1
trash image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
trash text above the address,delete,text,NONE,above,address,NONE,3,9,0,1,3
paste text to the left of the search,paste,text,NONE,left_of,search,NONE,6,9,0,3,3
tap on checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
press green switch to the right of the profile,click,switch,green,right_of,profile,NONE,1,7,4,5,3
scroll to tab to the right of the cart,scroll,tab,NONE,right_of,cart,NONE,7,8,0,5,3
tap on icon next to the notifications,tap,icon,NONE,next_to,notifications,NONE,8,3,0,4,3
launch the 3rd gray button,open,button,gray,NONE,NONE,3rd,5,1,3,0,2
tap the 3rd button next to the search,tap,button,NONE,next_to,search,3rd,8,1,0,4,2
scroll to tab next to the login,scroll,tab,NONE,next_to,login,NONE,7,8,0,4,3
select link,click,link,NONE,NONE,NONE,NONE,1,5,0,0,3
select image next to the menu,click,image,NONE,next_to,menu,NONE,1,4,0,4,3
tap blue switch,tap,switch,blue,NONE,NONE,NONE,8,7,2,0,3
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
scroll down to tab to the left of the search,scroll,tab,NONE,left_of,search,NONE,7,8,0,3,3
paste red text below the notifications,paste,text,red,below,notifications,NONE,6,9,8,2,3
select the last checkbox,click,checkbox,NONE,NONE,NONE,last,1,2,0,0,4
tap on icon below the cart,tap,icon,NONE,below,cart,NONE,8,3,0,2,3
launch tab below the search,open,tab,NONE,below,search,NONE,5,8,0,2,3
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
delete image next to the home,delete,image,NONE,next_to,home,NONE,3,4,0,4,3
open button above the home,open,button,NONE,above,home,NONE,5,1,0,1,3
scroll to the last text next to the first email,scroll,text,NONE,next_to,first email,last,7,9,0,4,4
press and hold black text above the menu,long-press,text,black,above,menu,NONE,4,9,1,1,3
press button,click,button,NONE,NONE,NONE,NONE,1,1,0,0,3
launch the last menu next to the address,open,menu,NONE,next_to,address,last,5,6,0,4,4
copy the 3rd white text to the left of the search,copy,text,white,left_of,search,3rd,2,9,9,3,2
open yellow link to the left of the home,open,link,yellow,left_of,home,NONE,5,5,10,3,3
press the last purple switch,click,switch,purple,NONE,NONE,last,1,7,7,0,4
trash image next to the profile,delete,image,NONE,next_to,profile,NONE,3,4,0,4,3
remove image to the right of the first email,delete,image,NONE,right_of,first email,NONE,3,4,0,5,3
scroll to menu to the left of the search,scroll,menu,NONE,left_of,search,NONE,7,6,0,3,3
press the 3rd checkbox,click,checkbox,NONE,NONE,NONE,3rd,1,2,0,0,2
trash button below the wi-fi,delete,button,NONE,below,wi-fi,NONE,3,1,0,2,3
copy text to the right of the menu,copy,text,NONE,right_of,menu,NONE,2,9,0,5,3
scroll to the 1st gray text,scroll,text,gray,NONE,NONE,1st,7,9,3,0,0
launch gray button below the payment,open,button,gray,below,payment,NONE,5,1,3,2,3
copy white text,copy,text,white,NONE,NONE,NONE,2,9,9,0,3
delete button to the right of the checkout,delete,button,NONE,right_of,checkout,NONE,3,1,0,5,3
remove the 3rd text to the left of the first email,delete,text,NONE,left_of,first email,3rd,3,9,0,3,2
trash image below the address,delete,image,NONE,below,address,NONE,3,4,0,2,3
paste red text next to the settings,paste,text,red,next_to,settings,NONE,6,9,8,4,3
paste the last orange text,paste,text,orange,NONE,NONE,last,6,9,5,0,4
copy orange text to the right of the search,copy,text,orange,right_of,search,NONE,2,9,5,5,3
copy text next to the address,copy,text,NONE,next_to,address,NONE,2,9,0,4,3
tap the 1st button,tap,button,NONE,NONE,NONE,1st,8,1,0,0,0
delete the last yellow text to the right of the cart,delete,text,yellow,right_of,cart,last,3,9,10,5,4
paste the 3rd gray text above the payment,paste,text,gray,above,payment,3rd,6,9,3,1,2
launch the 3rd red button to the left of the checkout,open,button,red,left_of,checkout,3rd,5,1,8,3,2
scroll down to yellow tab next to the payment,scroll,tab,yellow,next_to,payment,NONE,7,8,10,4,3
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
copy black text,copy,text,black,NONE,NONE,NONE,2,9,1,0,3
open the 1st tab to the right of the wi-fi,open,tab,NONE,right_of,wi-fi,1st,5,8,0,5,0
tap icon,tap,icon,NONE,NONE,NONE,NONE,8,3,0,0,3
copy the last text,copy,text,NONE,NONE,NONE,last,2,9,0,0,4
press and hold icon above the menu,long-press,icon,NONE,above,menu,NONE,4,3,0,1,3
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
delete gray button,delete,button,gray,NONE,NONE,NONE,3,1,3,0,3
delete text above the help,delete,text,NONE,above,help,NONE,3,9,0,1,3
copy the 1st text,copy,text,NONE,NONE,NONE,1st,2,9,0,0,0
launch button above the payment,open,button,NONE,above,payment,NONE,5,1,0,1,3
tap yellow checkbox,tap,checkbox,yellow,NONE,NONE,NONE,8,2,10,0,3
tap on switch to the left of the search,tap,switch,NONE,left_of,search,NONE,8,7,0,3,3
press and hold the last icon to the right of the address,long-press,icon,NONE,right_of,address,last,4,3,0,5,4
scroll to menu next to the settings,scroll,menu,NONE,next_to,settings,NONE,7,6,0,4,3
remove pink image,delete,image,pink,NONE,NONE,NONE,3,4,6,0,3
copy black text,copy,text,black,NONE,NONE,NONE,2,9,1,0,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
delete the last image,delete,image,NONE,NONE,NONE,last,3,4,0,0,4
paste text to the left of the wi-fi,paste,text,NONE,left_of,wi-fi,NONE,6,9,0,3,3
tap on the 1st link,tap,link,NONE,NONE,NONE,1st,8,5,0,0,0
copy text to the right of the address,copy,text,NONE,right_of,address,NONE,2,9,0,5,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
copy red text below the settings,copy,text,red,below,settings,NONE,2,9,8,2,3
copy text above the cart,copy,text,NONE,above,cart,NONE,2,9,0,1,3
long-press image above the wi-fi,long-press,image,NONE,above,wi-fi,NONE,4,4,0,1,3
long-press button to the left of the home,long-press,button,NONE,left_of,home,NONE,4,1,0,3,3
copy text below the wi-fi,copy,text,NONE,below,wi-fi,NONE,2,9,0,2,3
paste text below the last item,paste,text,NONE,below,last item,NONE,6,9,0,2,3
launch black icon above the last item,open,icon,black,above,last item,NONE,5,3,1,1,3
copy the last text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,last,2,9,0,3,4
click purple tab below the help,click,tab,purple,below,help,NONE,1,8,7,2,3
long-press image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
tap white icon next to the payment,tap,icon,white,next_to,payment,NONE,8,3,9,4,3
tap on red link next to the menu,tap,link,red,next_to,menu,NONE,8,5,8,4,3
paste green text below the profile,paste,text,green,below,profile,NONE,6,9,4,2,3
tap on the 2nd switch below the login,tap,switch,NONE,below,login,2nd,8,7,0,2,1
select switch next to the notifications,click,switch,NONE,next_to,notifications,NONE,1,7,0,4,3
launch the 2nd menu above the notifications,open,menu,NONE,above,notifications,2nd,5,6,0,1,1
copy gray text below the wi-fi,copy,text,gray,below,wi-fi,NONE,2,9,3,2,3
press icon,click,icon,NONE,NONE,NONE,NONE,1,3,0,0,3
launch icon to the left of the address,open,icon,NONE,left_of,address,NONE,5,3,0,3,3
remove image to the left of the menu,delete,image,NONE,left_of,menu,NONE,3,4,0,3,3
press the 3rd image to the right of the checkout,click,image,NONE,right_of,checkout,3rd,1,4,0,5,2
scroll down to the 2nd text,scroll,text,NONE,NONE,NONE,2nd,7,9,0,0,1
tap on icon below the settings,tap,icon,NONE,below,settings,NONE,8,3,0,2,3
copy red text above the cart,copy,text,red,above,cart,NONE,2,9,8,1,3
tap on icon to the left of the address,tap,icon,NONE,left_of,address,NONE,8,3,0,3,3
select the 1st white icon above the login,click,icon,white,above,login,1st,1,3,9,1,0
scroll down to orange tab,scroll,tab,orange,NONE,NONE,NONE,7,8,5,0,3
delete green image above the help,delete,image,green,above,help,NONE,3,4,4,1,3
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd,2,9,0,0,2
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
press the 3rd white link,click,link,white,NONE,NONE,3rd,1,5,9,0,2
paste the 2nd text to the right of the settings,paste,text,NONE,right_of,settings,2nd,6,9,0,5,1
tap the 1st icon next to the notifications,tap,icon,NONE,next_to,notifications,1st,8,3,0,4,0
trash orange image,delete,image,orange,NONE,NONE,NONE,3,4,5,0,3
click on white text,click,text,white,NONE,NONE,NONE,1,9,9,0,3
long-press the 1st red icon,long-press,icon,red,NONE,NONE,1st,4,3,8,0,0
scroll down to yellow tab to the right of the help,scroll,tab,yellow,right_of,help,NONE,7,8,10,5,3
copy green text to the left of the menu,copy,text,green,left_of,menu,NONE,2,9,4,3,3
paste the last text above the home,paste,text,NONE,above,home,last,6,9,0,1,4
scroll down to the 1st black tab to the right of the home,scroll,tab,black,right_of,home,1st,7,8,1,5,0
press and hold icon to the right of the home,long-press,icon,NONE,right_of,home,NONE,4,3,0,5,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
press and hold button below the settings,long-press,button,NONE,below,settings,NONE,4,1,0,2,3
remove button to the left of the search,delete,button,NONE,left_of,search,NONE,3,1,0,3,3
paste white text above the last item,paste,text,white,above,last item,NONE,6,9,9,1,3
scroll down to the 1st tab next to the profile,scroll,tab,NONE,next_to,profile,1st,7,8,0,4,0
scroll to menu above the help,scroll,menu,NONE,above,help,NONE,7,6,0,1,3
paste text above the help,paste,text,NONE,above,help,NONE,6,9,0,1,3
click on green tab,click,tab,green,NONE,NONE,NONE,1,8,4,0,3
scroll to text to the right of the settings,scroll,text,NONE,right_of,settings,NONE,7,9,0,5,3
long-press image above the wi-fi,long-press,image,NONE,above,wi-fi,NONE,4,4,0,1,3
remove pink button next to the search,delete,button,pink,next_to,search,NONE,3,1,6,4,3
copy text below the home,copy,text,NONE,below,home,NONE,2,9,0,2,3
tap blue checkbox,tap,checkbox,blue,NONE,NONE,NONE,8,2,2,0,3
paste text next to the search,paste,text,NONE,next_to,search,NONE,6,9,0,4,3
scroll to pink tab,scroll,tab,pink,NONE,NONE,NONE,7,8,6,0,3
tap on the last checkbox above the checkout,tap,checkbox,NONE,above,checkout,last,8,2,0,1,4
delete red button to the left of the menu,delete,button,red,left_of,menu,NONE,3,1,8,3,3
paste the 2nd gray text,paste,text,gray,NONE,NONE,2nd,6,9,3,0,1
press tab,click,tab,NONE,NONE,NONE,NONE,1,8,0,0,3
press the 3rd image next to the settings,click,image,NONE,next_to,settings,3rd,1,4,0,4,2
copy the 2nd text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,2nd,2,9,0,3,1
copy the 1st text to the right of the search,copy,text,NONE,right_of,search,1st,2,9,0,5,0
trash the last button next to the notifications,delete,button,NONE,next_to,notifications,last,3,1,0,4,4
long-press the last black button,long-press,button,black,NONE,NONE,last,4,1,1,0,4
launch link next to the login,open,link,NONE,next_to,login,NONE,5,5,0,4,3
copy text next to the payment,copy,text,NONE,next_to,payment,NONE,2,9,0,4,3
tap on the last blue link to the right of the cart,tap,link,blue,right_of,cart,last,8,5,2,5,4
